         188107 function calls (185585 primitive calls) in 19.457 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 token.py:74(<dictcomp>)
        4    0.000    0.000    0.003    0.001 connectionpool.py:168(__init__)
       10    0.000    0.000    0.000    0.000 enum.py:121(<setcomp>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
      143    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        4    0.000    0.000    0.773    0.193 client.py:290(begin)
       32    0.000    0.000    0.001    0.000 socket.py:87(_intenum_converter)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.dlopen}
        1    0.000    0.000    0.003    0.003 encoder.py:2(<module>)
        8    0.000    0.000    0.025    0.003 _collections.py:86(clear)
       28    0.000    0.000    0.001    0.000 ipaddress.py:1612(_make_netmask)
        2    0.000    0.000    0.363    0.181 __init__.py:3(<module>)
        1    0.000    0.000    0.012    0.012 request.py:68(<module>)
        4    0.000    0.000    0.003    0.001 message.py:460(<listcomp>)
        1    0.000    0.000    0.039    0.039 __init__.py:24(<module>)
        4    0.000    0.000    3.649    0.912 universaldetector.py:64(feed)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1734(_parse_hextet)
        4    0.000    0.000    0.001    0.000 models.py:402(prepare_headers)
       12    0.000    0.000    0.001    0.000 posixpath.py:222(expanduser)
      100    0.000    0.000    0.000    0.000 structures.py:60(<genexpr>)
       16    0.000    0.000    0.001    0.000 message.py:565(get_content_type)
        1    0.000    0.000    0.047    0.047 cookiejar.py:26(<module>)
        7    0.000    0.000    0.000    0.000 __init__.py:1184(_fixupParents)
       20    0.000    0.000    0.018    0.001 structures.py:42(__init__)
       59    0.000    0.000    0.000    0.000 sre_parse.py:70(__init__)
       17    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap_external>:911(create_module)
        1    0.000    0.000    0.338    0.338 connectionpool.py:1(<module>)
        4    0.000    0.000    1.516    0.379 connectionpool.py:450(urlopen)
       43    0.000    0.000    0.000    0.000 six.py:105(__init__)
       72    0.000    0.000    0.000    0.000 {method 'setdefault' of 'collections.OrderedDict' objects}
       24    0.000    0.000    0.001    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.092    0.092 client.py:69(<module>)
        4    0.000    0.000    0.354    0.088 socket.py:716(getaddrinfo)
       24    0.000    0.000    0.000    0.000 parse.py:181(_hostinfo)
    74/62    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.009    0.009 signal.py:1(<module>)
        1    0.000    0.000    0.021    0.021 shutil.py:5(<module>)
        1    0.000    0.000    0.152    0.152 utils.py:9(<module>)
       10    0.000    0.000    0.001    0.000 enum.py:406(_find_new_)
      101    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        9    0.000    0.000    0.000    0.000 socket.py:129(__init__)
        4    0.000    0.000    0.023    0.006 sessions.py:358(prepare_request)
      143    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       24    0.000    0.000    0.000    0.000 cookiejar.py:1200(vals_sorted_by_key)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
       93    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        4    0.000    0.000    3.710    0.928 __init__.py:22(detect)
        6    0.000    0.000    0.026    0.004 enum.py:532(_convert)
       16    0.000    0.000    0.000    0.000 cookiejar.py:1239(__init__)
       50    0.000    0.000    0.000    0.000 six.py:177(_add_module)
